Participant,Direction,Slab,InHoop
AN,N,3,12
AN,N,7,5
AN,N,9,7
AN,N,11,1
AN,N,15,1
AN,N,20,0
AN,S,3,12
AN,S,7,8
AN,S,9,8
AN,S,11,8
AN,S,15,2
AN,S,20,1
AH,N,3,12
AH,N,7,10
AH,N,9,9
AH,N,11,6
AH,N,15,1
AH,N,20,0
AH,S,3,12
AH,S,7,8
AH,S,9,10
AH,S,11,5
AH,S,15,3
AH,S,20,0
JR,N,3,12
JR,N,7,7
JR,N,9,9
JR,N,11,8
JR,N,15,4
JR,N,20,1
JR,S,3,12
JR,S,7,8
JR,S,9,8
JR,S,11,6
JR,S,15,3
JR,S,20,1
WJ,N,3,12
WJ,N,7,8
WJ,N,9,7
WJ,N,11,6
WJ,N,15,0
WJ,N,20,1
WJ,S,3,12
WJ,S,7,11
WJ,S,9,12
WJ,S,11,5
WJ,S,15,5
WJ,S,20,1
