Subject Code,Direction,Slab,Number in hoop
WJ1,North,3,11
WJ1,North,7,8
WJ1,North,9,2
WJ1,North,11,3
WJ1,North,15,1
WJ1,North,19,0
WJ1,South,3,12
WJ1,South,7,6
WJ1,South,9,6
WJ1,South,11,2
WJ1,South,15,1
WJ1,South,19,0
WJ2,North,3,12
WJ2,North,7,7
WJ2,North,9,5
WJ2,North,11,5
WJ2,North,15,1
WJ2,North,19,0
WJ2,South,3,12
WJ2,South,7,10
WJ2,South,9,2
WJ2,South,11,6
WJ2,South,15,1
WJ2,South,19,2
AJ1,South,3,12
AJ1,South,7,8
AJ1,South,9,6
AJ1,South,11,2
AJ1,South,15,2
AJ1,South,19,1
AJ1,North,3,8
AJ1,North,7,9
AJ1,North,9,2
AJ1,North,11,1
AJ1,North,15,0
AJ1,North,19,0
AJ2,South,3,10
AJ2,South,7,7
AJ2,South,9,4
AJ2,South,11,2
AJ2,South,15,0
AJ2,South,19,1
AJ2,North,3,7
AJ2,North,7,4
AJ2,North,9,4
AJ2,North,11,5
AJ2,North,15,1
AJ2,North,19,1
KK1,North,3,11
KK1,North,7,8
KK1,North,9,4
KK1,North,11,2
KK1,North,15,2
KK1,North,19,0
KK1,South,3,11
KK1,South,7,9
KK1,South,9,4
KK1,South,11,5
KK1,South,15,4
KK1,South,19,2
KK2,South,3,12
KK2,South,7,7
KK2,South,9,5
KK2,South,11,2
KK2,South,15,1
KK2,South,19,0
KK2,North,3,11
KK2,North,7,9
KK2,North,9,3
KK2,North,11,3
KK2,North,15,2
KK2,North,19,2
JS1,South,3,12
JS1,South,7,11
JS1,South,9,2
JS1,South,11,3
JS1,South,15,3
JS1,South,19,0
JS1,North,3,10
JS1,North,7,6
JS1,North,9,5
JS1,North,11,1
JS1,North,15,0
JS1,North,19,0
JS2,South,3,12
JS2,South,7,9
JS2,South,9,5
JS2,South,11,3
JS2,South,15,3
JS2,South,19,1
JS2,North,3,12
JS2,North,7,6
JS2,North,9,4
JS2,North,11,2
JS2,North,15,1
JS2,North,19,0
LJ2,North,3,12
LJ2,North,7,10
LJ2,North,9,7
LJ2,North,11,2
LJ2,North,15,1
LJ2,North,19,3
LJ2,South,3,11
LJ2,South,7,6
LJ2,South,9,10
LJ2,South,11,5
LJ2,South,15,3
LJ2,South,19,2
DK1,North,3,12
DK1,North,7,8
DK1,North,9,5
DK1,North,11,5
DK1,North,15,2
DK1,North,19,1
DK1,South,7,4
DK1,South,9,3
DK1,South,11,2
DK1,South,15,1
DK1,South,19,0
DK2,North,3,12
DK2,North,7,5
DK2,North,9,5
DK2,North,11,3
DK2,North,15,3
DK2,North,19,0
DK2,South,7,6
DK2,South,9,5
DK2,South,11,5
DK2,South,15,0
DK2,South,19,1
LJ1,South,3,12
LJ1,South,7,8
LJ1,South,9,7
LJ1,South,11,6
LJ1,South,15,0
LJ1,South,19,0
LJ1,North,3,11
LJ1,North,7,8
LJ1,North,9,3
LJ1,North,11,4
LJ1,North,15,2
LJ1,North,19,0
