Participant,Direcion,Slab,Acc
EMC1,N,3,12
EMC1,N,7,8
EMC1,N,9,2
EMC1,N,11,2
EMC1,N,15,2
EMC1,N,19,1
EMC1,S,3,12
EMC1,S,7,10
EMC1,S,9,6
EMC1,S,11,5
EMC1,S,15,3
EMC1,S,19,2
EMC2,N,3,11
EMC2,N,7,5
EMC2,N,9,2
EMC2,N,11,3
EMC2,N,15,0
EMC2,N,19,0
EMC2,S,3,11
EMC2,S,7,7
EMC2,S,9,8
EMC2,S,11,5
EMC2,S,15,4
EMC2,S,19,2
EMC3,N,3,12
EMC3,N,7,8
EMC3,N,9,6
EMC3,N,11,5
EMC3,N,15,3
EMC3,N,19,0
EMC3,S,3,12
EMC3,S,7,9
EMC3,S,9,6
EMC3,S,11,3
EMC3,S,15,2
EMC3,S,19,1
IS1,N,3,12
IS1,N,7,8
IS1,N,9,3
IS1,N,11,2
IS1,N,15,1
IS1,N,19,0
IS1,S,3,10
IS1,S,7,7
IS1,S,9,4
IS1,S,11,3
IS1,S,15,2
IS1,S,19,1
IS2,N,3,12
IS2,N,7,8
IS2,N,9,2
IS2,N,11,3
IS2,N,15,0
IS2,N,19,1
IS2,S,3,12
IS2,S,7,8
IS2,S,9,7
IS2,S,11,3
IS2,S,15,0
IS2,S,19,0
IS3,N,3,12
IS3,N,7,10
IS3,N,9,5
IS3,N,11,4
IS3,N,15,2
IS3,N,19,0
IS3,S,3,12
IS3,S,7,6
IS3,S,9,3
IS3,S,11,0
IS3,S,15,0
IS3,S,19,0
ZW1,N,3,12
ZW1,N,7,4
ZW1,N,9,3
ZW1,N,11,1
ZW1,N,15,1
ZW1,N,19,0
ZW1,S,3,12
ZW1,S,7,8
ZW1,S,9,6
ZW1,S,11,3
ZW1,S,15,2
ZW1,S,19,0
ZW2,N,3,12
ZW2,N,7,6
ZW2,N,9,5
ZW2,N,11,2
ZW2,N,15,2
ZW2,N,19,2
ZW2,S,3,12
ZW2,S,7,10
ZW2,S,9,5
ZW2,S,11,3
ZW2,S,15,3
ZW2,S,19,3
ZW3,N,3,12
ZW3,N,7,8
ZW3,N,9,3
ZW3,N,11,4
ZW3,N,15,1
ZW3,N,19,2
ZW3,S,3,12
ZW3,S,7,10
ZW3,S,9,5
ZW3,S,11,3
ZW3,S,15,3
ZW3,S,19,3
SJ1,N,3,11
SJ1,N,7,9
SJ1,N,9,7
SJ1,N,11,5
SJ1,N,15,1
SJ1,N,19,1
SJ1,S,3,12
SJ1,S,7,10
SJ1,S,9,8
SJ1,S,11,9
SJ1,S,15,1
SJ1,S,19,2
SJ2,N,3,12
SJ2,N,7,9
SJ2,N,9,6
SJ2,N,11,5
SJ2,N,15,2
SJ2,N,19,0
SJ2,S,3,12
SJ2,S,7,8
SJ2,S,9,6
SJ2,S,11,5
SJ2,S,15,4
SJ2,S,19,2
EM1,N,3,12
EM1,N,7,9
EM1,N,9,8
EM1,N,11,6
EM1,N,15,0
EM1,N,19,2
EM1,S,3,12
EM1,S,7,10
EM1,S,9,9
EM1,S,11,5
EM1,S,15,4
EM1,S,19,3
EM2,N,3,12
EM2,N,7,10
EM2,N,9,7
EM2,N,11,7
EM2,N,15,2
EM2,N,19,2
EM2,S,3,12
EM2,S,7,7
EM2,S,9,7
EM2,S,11,5
EM2,S,15,7
EM2,S,19,3
EM3,N,3,12
EM3,N,7,7
EM3,N,9,6
EM3,N,11,3
EM3,N,15,3
EM3,N,19,3
EM3,S,3,12
EM3,S,7,9
EM3,S,9,9
EM3,S,11,7
EM3,S,15,4
EM3,S,19,7
EM4,N,3,12
EM4,N,7,10
EM4,N,9,10
EM4,N,11,4
EM4,N,15,1
EM4,N,19,0
EM4,S,3,12
EM4,S,7,9
EM4,S,9,6
EM4,S,11,6
EM4,S,15,5
EM4,S,19,2
CP1,N,3,12
CP1,N,7,7
CP1,N,9,6
CP1,N,11,2
CP1,N,15,2
CP1,N,19,1
CP1,S,3,12
CP1,S,7,7
CP1,S,9,6
CP1,S,11,3
CP1,S,15,3
CP1,S,19,1
CP2,N,3,12
CP2,N,7,6
CP2,N,9,6
CP2,N,11,1
CP2,N,15,2
CP2,N,19,1
CP2,S,3,12
CP2,S,7,11
CP2,S,9,8
CP2,S,11,5
CP2,S,15,3
CP2,S,19,1
CP3,N,3,12
CP3,N,7,6
CP3,N,9,6
CP3,N,11,2
CP3,N,15,2
CP3,N,19,1
CP3,S,3,12
CP3,S,7,10
CP3,S,9,4
CP3,S,11,3
CP3,S,15,1
CP3,S,19,3
